,NU_INSCRICAO,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_ST_CONCLUSAO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,NU_NOTA_REDACAO,ESC_PAI,ESC_MAE,PESSOAS_RESIDENCIA,BANHEIRO,QUARTOS,CARRO,CELULAR,FIXO,COMPUTADOR,INTERNET,Q026,TIPO_EM,RENDA,NOTA_TESTES,NOTA_ENEM
144442,170000303578,MA,20.0,M,0.0,1,0,492.9,435.6,538.5,692.0,0,580.0,A,D,3.0,B,C,A,C,A,A,A,A,A,405.07845351745215,2159.0,2739.0
123652,170005264736,DF,18.0,F,0.0,1,0,482.9,595.4,584.4,599.9,0,580.0,C,C,4.0,B,C,A,D,B,B,B,A,A,1396.549213462587,2262.6,2842.6
157201,170001515854,PR,16.0,F,0.0,3,1,620.7,577.0,613.0,514.2,0,560.0,F,E,4.0,C,D,B,C,B,A,B,C,B,1984.9959813619766,2324.9,2884.9
158190,170003128307,RN,21.0,M,0.0,1,0,478.8,478.8,476.3,428.9,1,580.0,B,B,8.0,B,C,A,B,A,A,A,A,A,902.1886767788714,1862.8,2442.8
5320,170005322797,SC,16.0,M,0.0,3,1,622.1,636.2,590.1,536.1,0,560.0,G,G,4.0,E,D,C,E,B,E,B,C,E,16898.123964962226,2384.5,2944.5
189841,170000721091,PE,17.0,M,0.0,2,0,683.3,712.7,599.9,808.3,0,760.0,G,G,5.0,D,E,C,E,B,D,B,B,D,26255.904089525455,2804.2,3564.2
167050,170004817160,PR,22.0,M,0.0,1,0,582.7,627.7,611.4,612.7,1,0.0,B,C,4.0,B,C,B,D,B,B,B,A,A,2484.0072442002584,2434.5,2434.5
149459,170005218358,BA,22.0,F,0.0,1,0,499.1,503.6,430.7,369.5,1,420.0,E,B,3.0,B,C,A,A,A,A,A,A,A,831.8669336256752,1802.9,2222.9
39996,170004869171,MG,15.0,F,0.0,3,1,573.5,617.4,544.5,643.1,0,700.0,H,F,4.0,B,D,C,D,A,B,B,C,E,1675.5939681501245,2378.5,3078.5
37007,170001005146,RS,34.0,F,0.0,1,0,561.4,514.1,495.2,555.7,1,380.0,B,E,3.0,B,C,A,C,A,B,B,A,A,1571.3506927562603,2126.4,2506.4
167536,170003941134,PI,18.0,M,0.0,1,0,469.6,495.8,445.9,541.1,0,340.0,B,B,7.0,B,D,A,B,A,A,B,A,A,0.0,1952.4,2292.4
59861,170001014761,BA,31.0,M,0.0,1,0,526.3,420.7,453.2,459.8,1,560.0,H,H,6.0,B,D,B,E,A,B,B,A,A,2116.806485306842,1860.0,2420.0
132272,170000419435,CE,17.0,F,0.0,2,0,474.3,404.8,507.2,377.6,1,280.0,C,C,5.0,B,B,A,B,A,A,A,B,A,1178.8410238107192,1763.9,2043.9
36002,170001536297,RJ,17.0,M,0.0,3,1,465.7,401.7,394.9,417.9,0,500.0,G,F,3.0,B,C,B,D,A,D,B,C,D,2253.3027236379066,1680.1999999999994,2180.2
158432,170000074684,SP,17.0,M,0.0,2,0,607.0,608.7,603.7,655.5,0,660.0,F,G,4.0,D,D,B,E,B,C,B,B,D,15926.500251854824,2474.9,3134.9
118768,170004562600,RN,20.0,F,0.0,1,0,412.3,563.0,516.2,499.4,1,460.0,H,E,4.0,B,C,A,B,A,A,A,A,A,777.6475904789087,1990.9,2450.9
99709,170006504158,SE,20.0,M,0.0,1,0,452.4,495.3,512.0,453.9,1,640.0,H,D,3.0,B,C,A,C,A,A,B,A,A,246.6765086705744,1913.6,2553.6
22489,170002748409,PE,22.0,F,0.0,1,0,498.5,636.2,512.1,473.7,0,660.0,E,D,5.0,B,D,B,E,A,A,B,A,A,1708.9343143559129,2120.5,2780.5
144943,170001229540,RN,21.0,M,0.0,1,0,593.9,605.7,534.0,633.9,0,640.0,E,G,6.0,B,C,B,C,A,A,A,A,A,1882.3493475830005,2367.5,3007.5
78561,170005414745,SP,18.0,M,0.0,1,0,519.8,610.7,621.6,639.9,0,440.0,F,F,4.0,C,D,B,D,B,B,B,A,D,2439.731066543215,2392.0,2832.0
143369,170000621912,CE,18.0,M,0.0,2,0,446.9,503.8,470.6,443.4,1,560.0,B,B,3.0,B,C,A,C,A,A,A,B,A,1031.1278566404453,1864.7000000000005,2424.7000000000007
177840,170005770126,DF,21.0,F,0.0,1,0,538.2,581.5,548.4,406.3,0,560.0,A,C,4.0,B,A,A,A,A,A,A,A,A,509.9313733586653,2074.4,2634.4
18758,170003737157,RS,16.0,F,0.0,3,1,584.5,569.1,568.2,538.8,0,600.0,E,F,5.0,E,E,B,E,B,D,B,C,D,4399.0101957103725,2260.6,2860.6
152827,170006105380,PR,24.0,M,0.0,1,0,524.7,534.7,548.4,671.8,0,640.0,D,D,2.0,B,C,A,C,B,B,B,A,A,1729.3005149549977,2279.600000000001,2919.6000000000013
54624,170003346142,PA,18.0,M,0.0,3,0,557.4,571.3,503.1,405.3,1,600.0,G,G,3.0,B,C,A,D,A,B,A,C,A,2321.5404877715337,2037.1,2637.0999999999995
105058,170000931688,BA,17.0,F,0.0,2,0,494.1,431.1,474.1,540.2,1,500.0,D,D,4.0,C,D,B,D,A,A,B,B,A,1889.559188623299,1939.5,2439.5
104080,170000733279,MG,18.0,F,0.0,2,0,570.6,573.3,549.9,613.0,1,600.0,H,D,6.0,B,C,A,B,B,B,B,B,A,347.04918657326834,2306.8,2906.8
112901,170004223874,GO,18.0,M,0.0,1,0,486.6,511.2,486.1,634.3,1,360.0,H,G,1.0,B,B,A,B,A,B,B,A,A,0.0,2118.2,2478.2
17226,170004583733,PA,20.0,M,0.0,1,0,484.6,485.1,498.8,650.4,0,580.0,D,E,3.0,B,C,B,C,B,B,A,A,A,25.73448947126252,2118.9,2698.9
111317,170004168388,RN,20.0,M,0.0,1,0,418.1,451.7,529.9,419.5,1,440.0,C,E,4.0,B,D,B,A,A,B,B,A,A,648.3289241027062,1819.2,2259.2
105815,170000066759,PE,45.0,M,1.0,1,0,532.7,596.5,572.9,644.7,0,700.0,C,C,4.0,C,C,A,D,A,B,B,A,A,1879.6185880388944,2346.8,3046.8
19455,170006147935,PE,18.0,M,0.0,1,0,403.0,472.2,546.2,453.4,0,520.0,D,D,3.0,B,D,A,C,A,B,B,A,A,298.70003148241886,1874.8,2394.8
125580,170003848027,PB,32.0,F,2.0,1,0,487.4,461.6,421.5,472.4,1,400.0,A,A,2.0,B,D,A,C,B,A,B,A,A,915.8069690186836,1842.9,2242.9
141704,170000513307,RJ,18.0,F,0.0,2,0,481.4,566.2,525.4,427.3,0,460.0,B,E,3.0,B,C,A,C,A,A,B,B,A,983.5107006856599,2000.3,2460.3
198676,170006165174,TO,17.0,M,0.0,2,0,483.4,470.7,424.8,516.8,0,440.0,C,H,6.0,B,C,A,B,A,A,A,B,A,209.25505707728743,1895.7,2335.7
88857,170005041807,RJ,50.0,F,1.0,1,0,685.9,692.4,612.4,783.9,0,760.0,D,D,4.0,B,C,B,E,B,C,B,A,D,5131.923698284626,2774.6,3534.6
182588,170003135102,GO,29.0,F,0.0,1,0,550.9,465.2,481.5,422.6,1,520.0,B,B,6.0,B,D,A,C,A,A,A,A,A,1647.2255288003198,1920.2,2440.2
58630,170004882133,RS,18.0,F,0.0,1,0,471.4,478.7,522.7,576.7,1,600.0,E,E,2.0,B,C,A,C,A,B,B,A,A,1131.1930604937152,2049.5,2649.5
151632,170005803338,RS,18.0,M,0.0,2,0,477.3,582.4,509.7,507.2,0,380.0,E,E,2.0,B,C,A,B,A,B,A,B,A,1174.4314278707636,2076.6,2456.6
54008,170000323437,SP,20.0,M,0.0,2,0,449.0,430.2,462.1,437.9,0,540.0,B,E,7.0,B,C,A,D,A,B,B,B,A,1358.390634407704,1779.2000000000005,2319.2000000000007
16341,170002080118,RS,20.0,F,0.0,1,0,499.3,571.6,557.9,408.9,0,660.0,E,E,2.0,B,D,A,C,A,A,A,A,A,3087.7053587963487,2037.7000000000005,2697.7000000000007
95316,170002083472,PR,17.0,M,0.0,2,0,620.1,621.0,579.9,703.2,0,720.0,F,D,4.0,B,D,B,E,B,B,B,B,D,8382.341794532353,2524.2,3244.2
85513,170002703082,MT,18.0,F,0.0,2,0,433.2,406.4,432.7,607.4,1,520.0,D,D,3.0,B,D,A,B,A,A,A,B,A,746.5541543511736,1879.7,2399.7
181577,170005691137,SP,17.0,F,0.0,2,0,524.9,610.9,592.7,541.0,0,800.0,E,D,3.0,B,B,A,B,B,A,B,B,B,1766.222171232223,2269.5,3069.5
91917,170001411467,MA,18.0,M,0.0,1,0,448.7,380.9,457.1,370.1,1,540.0,H,H,3.0,B,C,A,B,A,A,A,A,A,0.0,1656.7999999999995,2196.8
96945,170004414248,RJ,17.0,M,0.0,2,0,560.2,567.0,504.8,425.5,0,680.0,D,F,3.0,C,D,B,C,A,C,B,B,B,6877.809577035212,2057.5,2737.5
50788,170004331724,RO,18.0,M,0.0,2,0,437.5,501.0,484.5,517.4,1,580.0,D,E,6.0,C,D,B,D,B,B,B,B,A,1844.8156842059202,1940.4,2520.4
133289,170005906135,MG,28.0,M,0.0,1,0,404.1,404.2,358.3,413.8,1,540.0,A,A,5.0,B,C,A,C,A,A,A,A,A,1146.9104531073276,1580.4,2120.4
111819,170004566711,SC,25.0,F,0.0,1,0,423.4,476.6,548.3,467.2,1,340.0,D,D,1.0,B,B,A,B,A,A,A,A,A,192.7956314445601,1915.5,2255.5
71715,170005238316,SP,17.0,M,0.0,2,0,640.9,602.1,550.6,688.8,0,600.0,E,D,5.0,B,D,B,E,A,C,B,B,E,3096.262770988285,2482.4,3082.4
52329,170001245878,RJ,23.0,F,0.0,1,0,546.6,513.7,546.2,406.9,1,400.0,D,E,2.0,B,B,A,B,A,B,A,A,C,906.9102281206732,2013.4,2413.4
23400,170004990401,MA,26.0,F,0.0,1,0,437.7,504.9,395.7,414.3,0,400.0,C,C,10.0,B,D,A,B,A,A,A,A,A,579.1696903076241,1752.6,2152.6
107600,170005983091,MA,33.0,M,0.0,1,0,491.1,509.5,490.1,432.9,1,480.0,E,E,3.0,B,C,B,D,A,B,B,A,D,1685.0405022267676,1923.6,2403.6
181063,170004300640,RJ,17.0,M,0.0,2,0,580.6,597.8,574.5,693.1,1,760.0,F,G,4.0,C,D,B,E,B,D,B,B,D,5220.847329276374,2446.0,3206.0
71590,170003768239,MG,23.0,F,1.0,1,0,487.2,358.2,533.1,408.0,1,560.0,A,A,2.0,B,C,A,C,B,B,B,A,A,1463.7151289077551,1786.5,2346.5
153321,170000870748,MS,19.0,M,0.0,2,0,473.0,385.4,381.2,359.2,0,420.0,B,B,3.0,C,D,B,A,A,B,B,B,A,998.6939489580963,1598.8,2018.8
145128,170005931290,SE,50.0,F,0.0,1,0,550.8,513.9,504.2,499.4,0,360.0,B,B,3.0,B,C,A,C,A,A,A,A,A,668.9952366941958,2068.3,2428.3
26931,170002981366,PE,32.0,F,1.0,1,0,445.6,388.8,445.4,396.0,1,0.0,A,A,3.0,B,B,A,B,A,A,A,A,A,0.0,1675.8000000000006,1675.8000000000006
133293,170002797731,SP,24.0,F,0.0,1,0,493.5,502.4,458.9,489.9,1,420.0,B,B,5.0,C,D,B,E,A,B,B,A,A,3047.1249582243395,1944.7,2364.7
182618,170004003550,BA,20.0,F,0.0,1,0,528.7,419.4,542.9,522.1,1,560.0,H,E,4.0,B,B,A,B,A,A,B,A,A,973.7007241922616,2013.1,2573.1
26115,170003844864,RS,21.0,F,0.0,1,0,519.3,514.2,540.9,513.8,1,540.0,E,D,5.0,B,C,A,D,A,B,B,A,A,1698.0069264327062,2088.2,2628.2
125857,170006685376,RS,35.0,M,1.0,1,0,598.4,471.4,483.5,544.6,1,380.0,C,C,3.0,B,C,B,B,A,A,A,A,A,1602.8768260318689,2097.9,2477.9
20491,170005787471,PB,52.0,M,1.0,1,0,540.4,597.7,533.1,575.4,1,640.0,B,F,4.0,B,C,A,D,A,B,B,A,A,1234.8155550683402,2246.6,2886.6
117374,170005044534,PB,23.0,F,0.0,1,0,430.8,530.8,465.5,443.4,1,440.0,B,B,8.0,B,D,B,D,A,A,A,A,A,1405.106549014834,1870.5,2310.5
190389,170005440299,SP,23.0,M,1.0,1,0,535.6,508.0,529.0,512.4,0,520.0,E,E,3.0,B,C,A,B,A,A,A,A,A,1384.3878686520602,2085.0,2605.0
102697,170004532454,RS,22.0,M,0.0,1,0,486.1,483.1,519.7,581.8,1,0.0,D,D,2.0,B,C,A,C,A,B,B,A,A,1133.025525998468,2070.7,2070.7
197036,170004273760,MG,17.0,M,0.0,2,0,616.1,634.8,597.0,651.0,0,620.0,E,G,3.0,D,D,B,C,B,B,B,B,D,4937.133642278624,2498.9,3118.9
188946,170005957638,PI,19.0,F,0.0,2,0,446.0,560.3,383.4,373.2,1,420.0,C,C,5.0,B,C,A,B,A,A,A,B,A,446.1050438214564,1762.9,2182.9
93138,170004534417,MG,28.0,M,0.0,1,0,729.8,682.0,633.0,871.0,0,700.0,B,B,3.0,C,D,B,D,A,B,B,A,A,3346.773297479306,2915.8,3615.8
192700,170002951839,DF,18.0,F,0.0,2,0,418.4,479.0,488.8,446.1,0,520.0,E,C,4.0,B,B,B,B,B,A,B,B,B,4049.5848656664034,1832.3,2352.3
177254,170000044067,GO,18.0,F,0.0,1,0,582.3,612.0,561.7,623.1,1,600.0,C,C,5.0,B,D,C,E,B,B,B,A,A,2670.989077427553,2379.1,2979.1
109553,170000169076,BA,23.0,F,0.0,1,0,587.6,627.2,598.9,540.1,0,640.0,E,E,3.0,D,D,A,E,B,C,B,A,A,2252.543251435608,2353.8,2993.8
6078,170001880965,PE,18.0,M,0.0,1,0,567.4,592.7,549.0,574.4,0,840.0,H,E,4.0,B,D,A,E,A,B,B,A,A,1375.3221488321115,2283.5,3123.5
61523,170005191228,MT,17.0,M,0.0,2,0,401.5,379.7,408.4,436.4,1,0.0,E,E,4.0,C,C,C,D,A,B,B,B,A,6762.4231892805665,1626.0,1626.0
25701,170000284676,MG,18.0,M,0.0,2,0,477.7,516.7,499.8,619.0,0,560.0,G,F,7.0,B,D,C,E,B,D,B,B,D,7787.419567020159,2113.2,2673.2
83599,170002540007,RR,18.0,F,0.0,2,0,437.2,473.3,528.4,403.3,1,480.0,B,E,6.0,B,B,A,D,A,A,A,B,A,1069.35001018263,1842.2,2322.2
146607,170000886287,RN,17.0,M,0.0,2,0,504.5,572.6,555.4,399.2,1,600.0,A,B,4.0,C,D,A,D,A,A,A,B,C,90.42441962521308,2031.7,2631.7
98023,170000274874,SP,17.0,F,0.0,2,0,468.8,427.3,523.9,483.6,0,580.0,E,F,6.0,B,C,B,B,B,B,B,B,A,1531.1315037930995,1903.6,2483.6
48994,170001237097,CE,19.0,F,0.0,1,0,480.4,499.0,476.7,421.1,0,440.0,E,E,4.0,B,C,A,C,A,B,A,A,A,0.0,1877.2,2317.2
155936,170003233150,BA,23.0,M,0.0,1,0,527.0,495.0,545.3,514.2,1,560.0,B,C,3.0,B,C,A,C,A,A,A,A,A,187.00320674741985,2081.5,2641.5
61183,170005094411,MG,22.0,M,0.0,1,0,524.4,602.8,616.5,437.4,0,600.0,B,C,4.0,C,D,A,D,B,B,B,A,C,988.1018026482296,2181.1,2781.1
144443,170001317039,SP,18.0,F,0.0,2,0,534.8,643.4,613.1,567.2,1,660.0,H,F,4.0,B,B,A,C,A,B,B,B,A,4482.5989646941725,2358.5,3018.5
133456,170000609577,SP,20.0,F,0.0,1,0,556.0,474.9,470.6,498.1,0,520.0,H,D,4.0,B,C,A,C,A,A,A,A,A,1195.6678551578416,1999.6,2519.6
16272,170000097008,RS,17.0,F,0.0,2,0,520.9,431.7,451.4,380.9,0,340.0,D,F,2.0,B,C,B,C,A,A,B,B,A,1847.6506831839824,1784.9,2124.9
133032,170006406644,PB,20.0,M,0.0,1,0,604.0,453.3,417.1,542.6,0,620.0,C,E,6.0,C,D,B,E,B,A,B,A,D,4235.163386698897,2017.0,2637.0
9457,170001128717,SP,21.0,F,0.0,1,0,494.7,511.9,471.3,522.9,1,580.0,C,C,4.0,B,C,B,D,A,B,B,A,A,1984.3684903393616,2000.8,2580.8
44438,170005883321,RN,23.0,M,0.0,1,0,392.9,597.8,584.1,604.4,1,600.0,F,E,6.0,D,D,C,E,A,A,B,A,D,5515.5644349064405,2179.2,2779.2
67767,170001832582,MG,17.0,F,0.0,2,0,410.9,394.8,476.4,575.8,0,640.0,H,E,3.0,C,D,B,D,B,C,B,B,A,2407.243926858981,1857.9,2497.9
126420,170004926448,PA,15.0,M,0.0,3,1,545.7,476.9,457.0,479.5,0,560.0,B,D,3.0,B,C,A,D,A,B,B,C,A,1485.9641386493406,1959.1,2519.1
108404,170001501991,RJ,25.0,F,0.0,1,0,416.8,382.2,428.7,396.6,1,540.0,A,B,4.0,B,D,A,D,A,B,A,A,A,96.99751448550757,1624.3000000000006,2164.3
45678,170005149453,MG,18.0,M,0.0,2,0,662.9,680.5,602.1,819.5,0,860.0,D,F,9.0,C,D,D,E,B,E,B,B,D,5181.183911005381,2765.0,3625.0
10956,170005583657,MG,21.0,F,0.0,1,0,468.3,378.8,480.6,411.7,1,460.0,E,C,3.0,B,C,A,B,A,A,B,A,A,1894.101654731824,1739.4,2199.4
36717,170004748748,BA,23.0,M,0.0,1,0,575.6,573.3,540.4,441.7,1,600.0,A,C,3.0,B,C,A,C,A,A,A,A,A,814.9338782873683,2131.0,2731.0
116843,170005269269,SP,17.0,F,0.0,2,0,543.5,582.8,548.6,554.3,0,560.0,D,E,3.0,B,C,B,D,B,B,B,B,A,2459.8143646780386,2229.2,2789.2
142081,170005591142,CE,60.0,F,0.0,1,0,451.1,379.3,434.6,379.5,1,360.0,A,A,1.0,B,B,A,B,A,A,A,A,A,797.595998279919,1644.5,2004.5
168559,170001410914,MG,15.0,F,0.0,4,0,527.2,611.8,581.1,562.0,0,780.0,D,E,4.0,C,D,D,E,A,B,B,D,D,4297.2797182826835,2282.1,3062.1
49574,170001697361,RS,18.0,F,0.0,1,0,604.5,624.5,587.1,712.3,1,680.0,D,E,4.0,B,C,B,C,B,B,B,A,A,2823.7252356483036,2528.4,3208.4
116987,170004581930,RJ,18.0,F,0.0,2,0,415.2,461.9,540.1,410.6,1,580.0,H,H,5.0,B,D,B,D,A,A,A,B,A,1283.5085764042876,1827.8,2407.8
8714,170005304316,RN,20.0,M,0.0,2,0,434.7,474.8,372.8,366.4,1,260.0,B,C,6.0,B,C,A,B,A,A,A,B,A,373.69676605939765,1648.6999999999994,1908.7
38467,170003118313,RJ,20.0,M,0.0,1,0,398.0,421.3,442.7,417.0,0,600.0,E,D,2.0,C,D,A,C,B,A,B,A,A,973.1024893635276,1679.0,2279.0
119929,170005254679,SP,19.0,F,0.0,1,0,474.8,594.9,585.4,611.8,1,700.0,D,C,3.0,B,C,A,B,A,A,A,A,A,226.4256031938379,2266.9,2966.9
157206,170001913901,RS,31.0,M,0.0,1,0,423.7,366.7,484.3,395.4,1,0.0,H,C,2.0,B,C,A,B,B,A,A,A,C,913.3128783366583,1670.1,1670.1
83166,170006695806,MA,23.0,M,0.0,1,0,539.4,469.9,478.5,572.7,1,580.0,D,E,3.0,B,C,A,C,A,A,B,A,A,1619.0330300353921,2060.5,2640.5
17825,170006605403,PE,17.0,M,0.0,2,0,497.0,578.8,510.3,540.9,0,480.0,A,B,6.0,B,C,A,B,A,A,A,B,A,627.6743578841174,2127.0,2607.0
9610,170005486498,MG,19.0,F,0.0,1,0,630.2,652.5,605.0,609.7,0,900.0,D,G,4.0,B,C,B,C,A,B,B,A,A,2332.874987101497,2497.4,3397.4
182620,170005743656,BA,28.0,M,,1,0,454.7,581.0,546.0,407.5,0,480.0,D,D,2.0,B,B,A,B,A,A,A,A,A,199.6148084862154,1989.2,2469.2
126862,170000686784,BA,17.0,F,0.0,2,0,555.8,540.0,472.7,586.1,0,780.0,E,F,4.0,C,D,B,D,A,B,B,B,A,269.3535544088134,2154.6,2934.6
96817,170002675838,PI,19.0,F,0.0,1,0,521.4,563.8,533.1,508.1,1,580.0,C,E,4.0,B,C,A,C,A,B,B,A,A,1332.6662830027885,2126.4,2706.4
199503,170006305605,MT,17.0,M,0.0,2,0,562.8,334.7,380.5,700.3,1,680.0,G,G,6.0,C,D,C,D,A,C,B,B,A,3458.381703048364,1978.3,2658.3
18561,170004701237,GO,21.0,F,,1,0,533.7,615.9,590.9,563.7,1,600.0,B,A,2.0,B,B,A,B,A,B,B,A,A,1106.6883408656968,2304.2,2904.2
33405,170001908437,SP,26.0,M,0.0,2,0,437.7,554.8,491.5,389.6,0,420.0,E,E,1.0,B,B,A,B,A,A,A,B,A,0.0,1873.6,2293.6
54020,170003998274,PA,23.0,M,0.0,1,0,499.3,504.7,483.5,443.0,1,400.0,B,B,6.0,B,B,A,B,A,A,A,A,A,489.69255962292885,1930.5,2330.5
176292,170006323267,SC,16.0,M,0.0,3,1,501.3,451.2,482.1,509.9,0,480.0,E,D,3.0,C,C,C,C,A,A,B,C,E,2627.3959191031245,1944.5,2424.5
74560,170006524712,DF,36.0,M,1.0,1,0,543.2,575.7,543.1,604.6,1,380.0,H,B,3.0,B,B,B,C,B,B,B,A,A,1146.886058669524,2266.6,2646.6
126245,170000378009,SP,17.0,F,,2,0,598.9,605.8,584.5,647.6,0,540.0,D,C,4.0,B,D,B,E,B,A,B,B,A,2509.870483862039,2436.8,2976.8
73390,170004284182,PA,26.0,M,0.0,1,0,577.0,513.2,553.1,537.4,1,500.0,B,B,6.0,B,B,A,C,A,A,A,A,A,497.17031593380415,2180.7000000000007,2680.7000000000007
148375,170002444120,MG,20.0,F,0.0,1,0,413.0,416.0,451.3,393.4,1,440.0,H,H,4.0,B,D,A,E,A,A,B,A,A,1564.6110650727744,1673.6999999999994,2113.7
80953,170004340070,PB,30.0,M,1.0,1,0,633.3,638.6,595.7,550.9,1,840.0,B,D,5.0,B,B,A,C,A,A,A,A,A,2440.9129140265404,2418.5,3258.5
180607,170004707290,MG,22.0,F,0.0,2,0,496.5,520.2,517.5,441.1,0,600.0,H,H,5.0,B,E,A,D,B,B,B,B,A,1078.576962278461,1975.3,2575.3
116591,170005642394,SP,26.0,F,1.0,1,0,452.2,441.6,547.6,620.2,0,660.0,E,E,4.0,B,B,B,C,A,B,B,A,A,2880.9708021267193,2061.600000000001,2721.600000000001
57280,170005671081,PI,17.0,F,0.0,2,0,672.0,634.2,600.2,612.9,0,760.0,G,F,6.0,D,E,C,E,B,D,B,B,E,9164.528595358035,2519.3,3279.3
166148,170005519863,SP,18.0,M,0.0,2,0,482.2,583.9,495.5,480.7,0,740.0,E,C,3.0,B,B,A,B,A,B,A,B,A,1501.4952787699658,2042.3,2782.3
121538,170003665481,PE,29.0,M,1.0,1,0,502.9,561.6,557.8,413.4,1,520.0,B,C,2.0,B,C,A,C,A,B,B,A,A,1297.2970772642786,2035.7,2555.7
68414,170004356076,MG,23.0,M,0.0,1,0,479.1,519.2,490.6,457.6,1,480.0,E,C,5.0,D,E,C,E,B,B,B,A,A,7746.775723920352,1946.5,2426.5
114111,170002061423,SP,17.0,M,0.0,2,0,473.1,501.4,480.1,496.0,0,540.0,B,B,4.0,B,D,B,C,B,B,B,B,A,946.5760756504097,1950.6,2490.6
143551,170002077986,PB,21.0,F,0.0,1,0,632.4,659.1,609.6,631.1,0,820.0,E,G,3.0,B,C,A,D,A,B,B,A,B,2458.807013353315,2532.2,3352.2
38342,170004708242,PE,25.0,F,1.0,1,0,408.6,510.0,514.4,436.9,1,600.0,A,C,3.0,B,B,A,B,A,B,B,A,A,749.3480988581794,1869.9,2469.9
27008,170006282219,SP,17.0,F,0.0,2,0,649.8,675.4,646.8,714.8,0,800.0,E,E,4.0,E,E,D,E,B,D,B,B,D,4699.417591350723,2686.8,3486.8
71033,170001997348,MG,17.0,F,0.0,3,1,669.5,611.6,585.3,703.5,0,640.0,E,E,4.0,C,D,B,D,B,B,B,C,D,10026.677742567916,2569.9,3209.9
1295,170002659208,RN,18.0,M,0.0,3,0,601.8,542.9,534.3,542.8,0,500.0,E,D,4.0,B,D,C,E,A,B,B,C,A,2664.562662921237,2221.8,2721.8
121565,170000774647,AM,36.0,M,0.0,1,0,579.2,511.4,503.1,475.2,1,560.0,E,D,3.0,B,B,A,B,A,A,A,A,A,1028.4682685054124,2068.9,2628.9
174866,170004468855,AM,21.0,M,0.0,1,0,483.3,477.6,496.0,501.0,1,560.0,F,E,4.0,B,D,A,E,A,B,A,A,A,985.8009255038232,1957.9,2517.9
159072,170002140317,MG,19.0,F,0.0,1,0,596.1,634.0,574.0,686.7,0,720.0,F,E,4.0,C,D,B,D,A,B,B,A,A,1384.7424046137698,2490.8,3210.8
91353,170004974654,MG,16.0,F,0.0,3,1,572.2,605.9,520.5,545.4,0,580.0,H,D,6.0,B,B,A,B,B,A,A,C,A,7.027293560149842,2244.0,2824.0
30284,170000099295,PE,23.0,F,0.0,1,0,489.4,381.9,558.0,568.4,0,640.0,B,B,5.0,B,C,A,C,A,B,B,A,A,880.4309468737132,1997.7,2637.7
140256,170002096218,PR,24.0,M,0.0,1,0,485.7,489.9,482.3,589.4,1,500.0,D,D,3.0,B,D,A,B,B,B,A,A,A,378.286327764682,2047.3,2547.3
53018,170000452501,PA,18.0,F,0.0,2,0,464.3,509.2,455.4,472.4,1,400.0,H,H,7.0,B,E,A,B,A,A,A,B,A,710.2969575202527,1901.3,2301.3
62444,170003484807,RS,23.0,M,0.0,1,0,659.9,713.9,647.1,800.3,1,840.0,A,E,1.0,B,C,B,C,A,B,B,A,A,2685.95157731113,2821.2,3661.2
127398,170001083541,SP,17.0,M,,2,0,627.6,765.2,636.1,782.2,0,820.0,F,G,4.0,E,D,C,E,B,D,B,B,D,14110.946738260493,2811.1000000000013,3631.1
44641,170002446573,BA,21.0,M,0.0,1,0,600.6,605.6,580.1,541.2,0,460.0,H,D,3.0,B,C,A,D,A,B,A,A,A,392.2616318497557,2327.5,2787.5
143629,170000467115,RJ,18.0,F,0.0,2,0,540.1,568.7,518.6,591.7,0,620.0,E,E,3.0,B,C,A,D,A,B,B,B,E,1230.1878938212606,2219.100000000001,2839.1000000000013
130625,170001488583,SP,18.0,M,0.0,2,0,476.4,481.0,477.9,578.2,0,420.0,H,D,3.0,C,C,B,D,B,B,B,B,A,2447.292504617847,2013.5,2433.5
38945,170004267939,PB,22.0,M,0.0,1,0,401.8,473.3,467.9,513.6,0,520.0,A,A,6.0,B,B,A,B,A,A,A,A,A,924.1799249812468,1856.6,2376.6
164900,170002774815,BA,23.0,M,0.0,1,0,646.3,677.4,625.7,658.2,1,760.0,B,B,2.0,B,C,B,D,A,B,B,A,E,1827.8480444324796,2607.6,3367.6
173411,170001782873,PA,38.0,F,,1,0,529.3,594.1,549.4,492.6,0,0.0,B,B,3.0,C,C,B,C,A,B,B,A,A,1697.0539015329184,2165.4,2165.4
166156,170003382829,CE,17.0,F,0.0,2,0,563.2,561.5,532.2,562.8,0,740.0,F,F,5.0,D,D,B,B,A,A,B,B,D,4369.091797222445,2219.7,2959.7
16141,170004476112,PA,49.0,F,0.0,1,0,547.2,467.6,405.9,449.7,1,0.0,B,A,3.0,B,C,A,D,A,A,A,A,A,962.7098952141736,1870.4,1870.4
21769,170001756408,SE,20.0,F,0.0,1,0,592.4,464.3,552.1,677.9,0,840.0,B,C,6.0,B,C,B,D,A,B,B,A,A,1219.623095553365,2286.7000000000007,3126.700000000001
188650,170000686655,PB,23.0,F,0.0,1,0,466.4,480.4,423.4,404.1,1,360.0,D,D,2.0,B,C,A,C,A,B,A,A,A,742.4412910678136,1774.2999999999995,2134.3
